Tirana 's national library has three copies of the " Book of Mass ' . "	S-LOC O O O O O O O O O B-MISC I-MISC E-MISC O O O
Volendam 1 ( Jongsma 85th ) PSV Eindhoven 3 ( Marcelo 19th , 47th ,	O O O S-PER O O O O O O S-PER O O O O
CINCINNATI 65 66 .496 5	O O O O O
Salomon cuts refiner Q3 EPS view on margin concern .	O O O O O O O O O O
Highlights of Wednesday 's Commission briefing .	O O O O O O O
The New Zealand money market gained slightly at Wednesday 's close after what dealers described as a see-saw trading session .	O B-LOC E-LOC O O O O O O O O O O O O O O O O O O
Kris Goossens ( Belgium ) vs. Sergi Bruguera ( Spain )	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O
Results of French first division	O O S-MISC O O
Glamorgan .	O O
Condominium sales edged up 6.0 percent for July and 24.8 percent for the year , the group said , while prices for condos nudged up less than 1.0 percent to an average of $ 123,394 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
At Worcester : Warwickshire 310 ( A. Giles 83 , T. Munton 54 not	O S-LOC O O O O B-PER E-PER O O B-PER E-PER O O
" They had some scans and X-rays yesterday and they 're out , " said Hoddle .	O O O O O O O O O O O O O O O S-PER O
7. Laban Rotich ( Kenya ) 3:34.12	O B-PER E-PER O S-LOC O O
The nation 's new welfare reform law limits eligibility , gives states more power and ends direct federal aid for poor children .	O O O O O O O O O O O O O O O O O O O O O O O
" The envelopes , each with the five different voting slips , were sealed until voting and had written instructions on how to vote , " she said . "	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Martin Brooks , president of Miss Universe Inc , said he spoke with Machado to assure her that organisers were not putting pressure on her .	B-PER E-PER O O O O O O O O O O O S-PER O O O O O O O O O O O O
Defiant U.S. neo-Nazi jailed by German court .	O S-LOC S-MISC O O S-MISC O O
Result : Sri Lanka won by 9 wickets	O O B-LOC E-LOC O O O O
Nocerina 's 4-3 defeat of Piacenza was also subject to a complaint , later removed , that forced their second round match against serie A newcomers Perugia to be delayed .	O O O O O O O O O O O O O O O O O O O O O O O B-MISC E-MISC O O O O O O
German farm ministry tells consumers to avoid British mutton .	S-MISC O O O O O O S-MISC O O
7. Fita Bayesa ( Ethiopia ) 7:38.09	O B-PER E-PER O S-LOC O O
NEW YORK 59 71 .454 23	O O O O O O
Pivotal , a Royal Ascot winner in June , may now be aimed at this season 's Abbaye , Europe 's top sprint race .	S-PER O O B-PER E-PER O O O O O O O O O O O O S-MISC O S-LOC O O O O O
The chairman of national carrier EgyptAir on Thursday blamed the control tower at Istanbul airport for the EgyptAir plane accident .	O O O O O O O O O O O O O S-LOC O O O O O O O
Zhirinovsky visited Iraq twice in 1995 .	S-PER O S-LOC O O O O
Havana 's complaints centred on an incident in which a boatload of emigrants capsized in the Florida Straits last week and two recent aircraft hijackings from Cuba .	S-LOC O O O O O O O O O O O O O O O B-LOC E-LOC O O O O O O O O S-LOC O
CANBERRA 1996-08-22	S-LOC O
GAK 6 1 3 2 8 10 6	O O O O O O O O
Venezuela non-oil exports rise 10.6 pct in July .	S-LOC O O O O O O O O
The individual Names , however , now must decide whether to accept Lloyd 's settlement offer or reject the offer and pursue litigation .	O O S-MISC O O O O O O O O O O O O O O O O O O O O O
Isolated showers 0.20-0.70 inch ( 5-18 mm ) in the north .	O O O O O O O O O O O O
( Austria ) GT2 Konrad Porsche 911 164	O S-LOC O B-MISC I-MISC I-MISC E-MISC O
The bank 's governor Sudradjat Djiwandono was quoted as saying on Monday about 5.4 billion rupiah of the seven billion rupiah had been recovered .	O O O O B-PER E-PER O O O O O O O O O O O O O O O O O O O
Rating : Aa3 / VMIG 1	O O O O O O
NOTE : Elect Res = Electoral Research Group ( Forschungsgruppe Wahlen )	O O O O O O O O O O O O
+5 Sigeki Maruyama ( Japan ) through 17	O B-PER E-PER O S-LOC O O O
Emnid Aug 25 41.0 34.0 7.0 10.0 6.0	O O O O O O O O
50 cents / pound	O O O O
Glickman says USDA monitoring aflatoxin in Texas .	S-PER O O O O O S-LOC O
" Roy agreed a new deal before last night 's game against Everton and we are delighted , " said United manager Alex Ferguson on Thursday .	O S-PER O O O O O O O O O O O O O O O O O O O O B-PER E-PER O O O
Petrimex Prievidza 4 3 0 1 4 2 9	O O O O O O O O O
English division one - Birmingham v Barnsley , Bradford v	S-MISC O O O O O O O O O
Kispest Honved win 2-0 on aggregate .	O O O O O O O
S&P = DENOMS ( K ) 1-10-100 SALE LIMITS US / UK / CA	O O O O O O O O O S-LOC O S-LOC O S-LOC
It was the second-longest streak by an active player in the the majors behind Baltimore 's Cal Ripken , who appeared in his major-league record 2,282nd straight game today , a 13-0 loss to the California Angels .	O O O O O O O O O O O O O O O O B-PER E-PER O O O O O O O O O O O O O O O O O O O O
The EgyptAir pilot blamed Turkish airport staff for misleading him .	O O O O S-MISC O O O O O O
Naoko Kijimuta ( Japan ) beat Alexandra Fusai ( France ) 6-4 7-5	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O
A U.S. fighter plane blew a tyre and caught fire while landing on Sunday at Israel 's Ben Gurion airport , an airport spokesman said .	O S-LOC O O O O O O O O O O O O O S-LOC O B-LOC E-LOC O O O O O O O
J. Srinath not out 1	B-PER E-PER O O O
North Melbourne 14.12 ( 96 ) Geelong 16.13 ( 109 )	O O O O O O O O O O O
Playing Sunday :	O O O
Twente Enschede 3 1 2 0 4 2 5	O O O O O O O O O
SYDNEY 1996-08-26	S-LOC O
- 7 ) 6-1 3-6 6-4	O O O O O O
Arminia Bielefeld 3 0 2 1 2 3 2	O O O O O O O O O
" Bankruptcy is always possible , particularly when you lose what we are going to lose in the first half of this year , " Levy said . "	O O O O O O O O O O O O O O O O O O O O O O O O O S-PER O O O
WASHINGTON 1996-08-23	S-LOC O
TORONTO AT CHICAGO	O O S-LOC
Only some take money , " Sri Lankan boatman Chinnathambi said .	O O O O O O B-MISC E-MISC O S-PER O O
, said the contract was " not unique , but it 's big . "	O O O O O O O O O O O O O O O
RTRS - Tennis - Muster upset , Philippoussis wins , Stoltenberg loses .	O O O O S-PER O O S-PER O O S-PER O O
Russian President Boris Yeltsin 's security supremo Alexander Lebed and Chechen rebel chief-of-staff Aslan Maskhadov signed a deal on Thursday aimed at ending three weeks of renewed fighting in the region .	S-MISC O B-PER E-PER O O O B-PER E-PER O S-MISC O O B-PER E-PER O O O O O O O O O O O O O O O O O
He said the man on the videotape did not match the description given by the jewelry store owner .	O O O O O O O O O O O O O O O O O O O
- The government has blamed sugar technologists for not supporting a long-term programme of research and development to increase production of sugarcane .	O O O O O O O O O O O O O O O O O O O O O O O
Palestinian leaders called the strike , the first in the West Bank and Gaza since 1994 , a warning signal that the peace process with Israel was in danger .	S-MISC O O O O O O O O O B-LOC E-LOC O S-LOC O O O O O O O O O O O S-LOC O O O O
Emnid June 30 39.0 33.0 6.0 12.0 5.0	O O O O O O O O
ingot 75 cents / pound	O O O O O
NOTE : Full name of company is Dreyfus Strategic Municipals Inc .	O O O O O O O O O O O O
KANSAS CITY 58 71 .450 19	O O O O O O
Austria sixth in the other Benetton .	S-LOC O O O O O O
CYCLING - VAN HEESWIJK WINS TOUR OF NETHERLANDS SECOND STAGE .	O O B-PER E-PER O B-MISC I-MISC E-MISC O O O
TENNIS - RESULTS AT HAMLET CUP .	O O O O B-MISC E-MISC O
Scorer : Ilian Simeonov ( 58th )	O O B-PER E-PER O O O
HONG KONG 1996-08-28	B-LOC E-LOC O
Anti-Bhutto rally draws about 8,000 in Karachi .	S-MISC O O O O O S-LOC O
Revered skull of S. Africa king is Scottish woman 's .	O O O B-LOC E-LOC O O S-MISC O O O
In Bergen : Brann ( Norway ) 2 Shelbourne ( Ireland ) 1 ( 1-1 )	O S-LOC O O O S-LOC O O O O S-LOC O O O O O
UN official says Iraqi deal will occur " soon " .	O O O S-MISC O O O O O O O
2. Paul Malin ( Britain ) Yamaha 317	O B-PER E-PER O S-LOC O O O
( 7-0 ) 6-3	O O O O
2. MTK 3 3 - - 7 1 9	O O O O O O O O O
3. Gabi Rokmeier ( Germany ) 11.61	O B-PER E-PER O S-LOC O O
Sparta Rotterdam 2 0 1 1 0 1 1	O O O O O O O O O
Zurich 9 2 5 2 9 9 11	O O O O O O O O
1996 1995 1996 1995	O O O O
-- London Newsroom +44 171 542 8863	O O O O O O O
Ireland midfielder Roy Keane has signed a new four-year contract with English league and F.A. Cup champions Manchester United .	S-LOC O B-PER E-PER O O O O O O O S-MISC O O B-MISC E-MISC O O O O
Practice times set on Friday	O O O O O
Dutroux , 39 , who was charged last week with the abduction and illegal imprisonment of two other girls aged 14 and 12 , is one of several suspects in the Marchal and Lambrecks case .	S-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-PER O S-PER O O
French international midfielder Marcel Desailly fouled the Argentine , whose coach at Boca Juniors before he joined Fiorentina in 1991 was new Milan coach Oscar Tabarez , and Batistuta rammed home the free kick from 30 metres out .	S-MISC O O B-PER E-PER O O S-MISC O O O O O O O O O O O O O O O O B-PER E-PER O O S-PER O O O O O O O O O O
The Finance Ministry raised the price for tap sales of the Dutch government 's new 5.75 percent bond due September 2002 to 99.95 from 99.90 .	O O O O O O O O O O O S-MISC O O O O O O O O O O O O O O
Halftime 0-0 .	O O O
6-2	O
Bangladesh Speaker says he received death threats .	S-LOC O O O O O O O
1. Ray Belim ( Britain ) / James Weaver ( Britain ) / J.J.Lehto	O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O
The suspicion , however , lingers in Stich 's mind that U.S. Open officials did tamper with the seeding process in order to benefit homegrown players .	O O O O O O O S-PER O O O B-MISC E-MISC O O O O O O O O O O O O O O
Ferrigato , winner of the Leeds Classic last Sunday with a one second win over Britain 's Max Sciandri , posted a similarly narrow margin of victory again .	S-PER O O O O B-MISC E-MISC O O O O O O O O S-LOC O B-PER E-PER O O O O O O O O O O
2. Juha Kankkunen ( Finland ) Toyota Celica 46 seconds behind	O B-PER E-PER O S-LOC O B-MISC E-MISC O O O
1. Colonna three hours 42 mins 55 seconds	O S-PER O O O O O O
The suit contends America Online was misappropriating NBA property by providing a site containing continually updated scores and statistics of NBA games in progress .	O O O O O O O O O O O O O O O O O O O O O O O O O
The train 's engine and its six cars derailed but were still standing , state police said .	O O O O O O O O O O O O O O O O O O
Misael Valerio , head of border police at the Security Ministry , told reporters surveillance of the northern border with Nicaragua has been stepped up to keep the kidnappers from fleeing Costa Rica .	B-PER E-PER O O O O O O O O O O O O O O O O O O S-LOC O O O O O O O O O O B-LOC E-LOC O
Promising 10th-ranked American Chanda Rubin has pulled out of the U.S. Open Tennis Championships with a wrist injury , tournament officials announced .	O O S-MISC B-PER E-PER O O O O O B-MISC I-MISC I-MISC E-MISC O O O O O O O O O
The strike will have little effect on the Israeli economy while hurting Palestinian merchants in East Jerusalem and Bethlehem who cater to the tourist trade .	O O O O O O O O S-MISC O O O S-MISC O O B-LOC E-LOC O S-LOC O O O O O O O
Authorities branded the violence , in which a police officer was killed , as an act of terror .	O O O O O O O O O O O O O O O O O O O
Lincoln 's notation on the letter read : " If his colonel will say in writing on this sheet he is willing to receive this man back to the regiment , I will pardon and send him . "	S-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The hijackers started to release people for the Airbus plane in batches of 10 , starting with women and children , in what police described as a " controlled release " .	O O O O O O O O S-MISC O O O O O O O O O O O O O O O O O O O O O O O
SOCCER - COSTA RICA AND CHILE DRAW 1-1 IN FRIENDLY .	O O B-LOC E-LOC O S-LOC O O O O O
( Barcelona win 6-5 on aggregate )	O O O O O O O
Companies that can change their culture and view employees as business partners will do well , O'Neal said .	O O O O O O O O O O O O O O O O S-PER O O
Kpaitan Stankov 69 31/8 St Croix / USAC W125 Hess .	O O O O B-LOC E-LOC O S-LOC O O O
SOCCER - GERMAN FIRST DIVISION RESULTS / STANDINGS .	O O S-MISC O O O O O O
Kuchma has said Kiev wants membership of the European Union , associate membership of the Western European Union defence grouping and to move closer to NATO .	S-PER O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O
NATIONAL LEAGUE	B-MISC E-MISC
Perhaps the advisory was cut off before concluding : " ...and bring plenty of money . "	O O O O O O O O O O O O O O O O O
COUNCIL REGULATION ( EEC ) No 4064/89 ( 96 / C 251/04 )	O O O O O O O O O O O O O
At Leicester : Leicestershire 343-8 ( P. Simmons 108 , P. Nixon	O S-LOC O O O O B-PER E-PER O O B-PER E-PER
3. Alina Astafei ( Germany ) 1.97	O B-PER E-PER O S-LOC O O
SEATTLE 68 63 .519 6 1/2	O O O O O O
Year to December 31 , 1996	O O O O O O
Austrian television reported earlier that more than 20 had been hurt in the accident at the station in Linz , 300 km ( 180 miles ) west of Vienna .	S-MISC O O O O O O O O O O O O O O O O O S-LOC O O O O O O O O O S-LOC O
- 5 Billy Mayfair through 2	O O B-PER E-PER O O
129 Robert Karlsson ( Sweden ) 67 62	O B-PER E-PER O S-LOC O O O
Figures were as follows ( in tonnes ) :	O O O O O O O O O
WELLINGTON 1996-08-22	S-LOC O
In the first round Muster faces American Richey Reneberg , who has been playing some of the best tennis of his career of late .	O O O O S-PER O S-MISC B-PER E-PER O O O O O O O O O O O O O O O O
Minnesota 6 TORONTO 4	O O O O
Iraq 's ambassador in Khartoum denounced the hijacking and described it as a terrorist act which had nothing to do " with the morals and values of noble Iraqis , " INA said .	S-LOC O O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O S-MISC O O O O O
Guingamp 2 Monaco 1	O O O O
Man-of-the-Match : Sanath Jayasuriya	O O B-PER E-PER
The newspaper said it was the central bank 's first public scandal in its 43-year history .	O O O O O O O O O O O O O O O O O
Great is the outpouring of the coloured people that is now rallying with the heart of lions against the very curse that has separated you and me . "	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Alberto Piotti , security chief of Buenos Aires province , told local television that 3,600 dishonest officers had been purged from the force 's ranks in the past five years .	B-PER E-PER O O O O B-LOC E-LOC O O O O O O O O O O O O O O O O O O O O O O O
SV Ried 0 SV Salzburg 4	O O O O O O
To bat - Inzamam-ul-Haq , Salim Malik , Asif Mujtaba , Wasim Akram , Moin Khan , Mushtaq Ahmed , Waqar Younis , Mohammad Akam	O O O S-PER O B-PER E-PER O B-PER E-PER O B-PER E-PER O B-PER E-PER O B-PER E-PER O B-PER E-PER O B-PER E-PER
