S. Korea Daewoo , Dacom units in Polish telecom JV .	B-LOC E-LOC S-ORG O S-ORG O O S-MISC O O O
It was Australia Day at the $ 2 million Canadian Open on Thursday as three Aussies reached the quarter-finals with straight-set victories .	O O B-MISC E-MISC O O O O O B-MISC E-MISC O O O O S-MISC O O O O O O O
The plane , surrounded by 11 fire-engines , is being checked for explosives at the moment .	O O O O O O O O O O O O O O O O O
Its service is being introduced in selected markets across the United States .	O O O O O O O O O O B-LOC E-LOC O
TOTAL VOLUME -- 83,008 60,131 22,877 --	O O O O O O O
Germany said on Thursday it had received assurances from the Russian government that its forces would observe the latest ceasefire in Chechnya .	S-LOC O O O O O O O O O S-MISC O O O O O O O O O O S-LOC O
SYDNEY 1996-08-23	S-LOC O
Estonia 's parliament again failed to elect a new state president on Tuesday when neither of two candidates secured a majority in second-round voting .	S-LOC O O O O O O O O O O O O O O O O O O O O O O O O
Qualifier vs. qualifier	O O O
A.G. Edwards & Sons , Inc .	B-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O
NEW YORK	B-LOC E-LOC
At the time of his arrest , ICAC officers seized HK$ 100,000 , it added .	O O O O O O O S-ORG O O S-MISC O O O O O
Her Missionaries of Charity , a Roman Catholic religious order she founded in 1949 , now runs about 300 homes for unwanted children and the destitute in India and abroad .	O B-ORG I-ORG E-ORG O O B-MISC E-MISC O O O O O O O O O O O O O O O O O O O S-LOC O O O
( Note - contents are displayed in reverse order to that in the printed Journal )	O O O O O O O O O O O O O O S-ORG O
" It 's not unfortunate , it 's incompetent , " he declared .	O O O O O O O O O O O O O O
Mark Knowles ( Bahamas ) vs. Marcelo Filippini ( Uruguay )	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O
Available freight-tonne kilometres ( million ) 2,389 up 4 pct	O O O O O O O O O O
3. Armstrong 2 seconds	O S-PER O O
CALL A 96.00 PCT 1.16 DEM 1.90 PCT 82.20 X	O O O O O S-MISC O O O O
The unseeded Swede struck quickly , breaking Krajicek in the first game and never let loose his grip on the one hour 44 minute match as he served and volleyed with the grace that made him one of the dominant players of his time .	O O S-MISC O O O O S-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Pachuca 3 1 1 1 6 7 4	S-ORG O O O O O O O
Michael Penrose , a 23-year-old worker with the group Action Against Hunger , described his ordeal to a news conference when he arrived back in Britain from Moscow .	B-PER E-PER O O O O O O O B-ORG I-ORG E-ORG O O O O O O O O O O O O O S-LOC O S-LOC O
Revenue from commuter traffic 5,400 up 4.6 pct	O O O O O O O O
soccer matches played on Saturday :	O O O O O O
MOTOR RACING - BELGIAN GRAND PRIX GRID POSITIONS .	O O O B-MISC I-MISC E-MISC O O O
The government has been trying to phase out huge subsidies to the farm sector , and in a move back to pre-Soviet days has given up to 50 hectares ( 124 acres ) of land to some 36,000 private farmers willing to go it alone .	O O O O O O O O O O O O O O O O O O O O O S-MISC O O O O O O O O O O O O O O O O O O O O O O O O
LONDON 1996-08-27	S-LOC O
" It is high time he was behind bars , " the opposition Social Democrats said in a statement .	O O O O O O O O O O O O O B-MISC E-MISC O O O O O
Core Inflation +0.1 +0,2 +0,2 - -	O O O O O O O
Fortuna Sittard 2 1 1 0 1 0 4	B-ORG E-ORG O O O O O O O
Unemployment ( pct ) July 10.8 pct ( June 10.6 pct )	O O O O O O O O O O O O
1996-08-22	O
Prasad Wagle , another former senior JavaSoft engineer who is among the founding engineers at Internet Startup , said the new company aims to build software infrastructure using Java to make networked applications ubiquitious .	B-PER E-PER O O O O S-ORG O O O O O O O O B-ORG E-ORG O O O O O O O O O O O S-MISC O O O O O O
Postponed : Peterborough v Notts County , Wrexham v Bristol	O O S-ORG O B-ORG E-ORG O S-ORG O S-ORG
RUGBY UNION - CARLING LEFT OUT OF ENGLAND TRAINING SQUAD .	B-ORG E-ORG O S-PER O O O S-LOC O O O
Rapid Bucharest 0 Steaua Bucharest 2	B-ORG E-ORG O B-ORG E-ORG O
5. Darryll King ( New Zealand ) Honda 178	O B-PER E-PER O B-LOC E-LOC O S-ORG O
Tekstilshik Kamyshin 2 Krylya Sovetov Samara 1	B-ORG E-ORG O B-ORG I-ORG E-ORG O
Goalkeepers - Vitor Baia , Rui Correia .	O O B-PER E-PER O B-PER E-PER O
5. Jamie Baulch ( Britain ) 45.08	O B-PER E-PER O S-LOC O O
8. Jacqueline Martin ( Spain ) 2:44.22	O B-PER E-PER O S-LOC O O
But it 's when it gets to the ( employee ) families -- that it goes across the line . "	O O O O O O O O O O O O O O O O O O O O O
Roma , now coached by Argentine Carlos Bianchi and watched by Italian national coach Arrigo Sacchi , lost 3-1 to Cesena -- another repeat of last season when the Rome club also went out at the first hurdle .	S-ORG O O O O S-MISC B-PER E-PER O O O S-MISC O O B-PER E-PER O O O O S-ORG O O O O O O O O S-LOC O O O O O O O O O
Pakistan	S-LOC
Police unions are not contesting the ban , which affects all 27,000 officers , and nor are the very top tier of Hong Kong 's mandarin class , the policy secretaries .	O O O O O O O O O O O O O O O O O O O O O O B-LOC E-LOC O O O O O O O O
+8 Craig Parry ( Australia ) through 13	O B-PER E-PER O S-LOC O O O
- Financial negotiations between Lebanon and Pakistan .	O O O O S-LOC O S-LOC O
Oldest Albania book disappears from Vatican - paper .	O S-LOC O O O S-LOC O O O
Alan Elsner	B-PER E-PER
Honda 's Takeda was pursued past Corser by the Yamaha duo of Noriyuki Haga and Wataru Yoshikawa with Haga briefly taking the lead in the final chicane on the last lap .	S-ORG O S-PER O O O S-PER O O S-ORG O O B-PER E-PER O B-PER E-PER O S-PER O O O O O O O O O O O O O
AZ Alkmaar 3 0 1 1 0 3 1	B-ORG E-ORG O O O O O O O
MOTORCYCLING - WORLD SUPERBIKE CHAMPIONSHIP RESULTS .	O O O O O O O
Francisco Cea ( Spain ) 70 71 76 , Gavin Levenson ( South	B-PER E-PER O S-LOC O O O O O B-PER E-PER O S-LOC
The Barrick bid took observers by surprise , since Arequipa 's exploration was still in its early stages .	O S-ORG O O O O O O O S-ORG O O O O O O O O O
Other income 1.90 vs 2.07	O O O O O
JUNE MAY JUNE 1995	O O O O
Beauty queens are high-profile personalities in Venezuela and Machado 's alleged weight problem made front page news this week .	O O O O O O S-LOC O S-PER O O O O O O O O O O O
Fortuna Duesseldorf 3 1 0 2 1 7 3	B-ORG E-ORG O O O O O O O
Raja Casablanca 4 Tetouan 0	B-ORG E-ORG O S-ORG O
At Worcester : Warwickshire 255-9 ( A. Giles 57 not out , W. Khan	O S-LOC O S-ORG O O B-PER E-PER O O O O B-PER E-PER
7 - Chris Walker ( England ) beat Julien Bonetat ( France ) 15-12	O O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O
MAY 1996 CDU / CSU SPD FDP Greens PDS	O O B-ORG I-ORG E-ORG S-ORG S-ORG S-ORG S-ORG
ONE ROMANIAN DIES IN BUS CRASH IN BULGARIA .	O S-MISC O O O O O S-LOC O
The Reserve Bank of India Governor Chakravarty Rangarajan said on Thursday that a current account deficit of two percent of gross domestic product ( GDP ) was sustainable given the currrent rate of growth .	O B-ORG I-ORG I-ORG E-ORG O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O
-- ( New York commodities desk 212 859 1646 )	O O B-LOC E-LOC O O O O O O
CRICKET - GIBBS GETS INTERNATIONAL CALL UP .	O O S-PER O O O O O
Bowling ( to date ) : Wasim Akram 25-8-61-1 , Waqar Younis	O O O O O O B-PER E-PER O O B-PER E-PER
The Syrians are confused , they are definitely tense , but the general assessment here in Washington is that this is essentially a storm in a teacup , " he said .	O S-MISC O O O O O O O O O O O O O O S-LOC O O O O O O O O O O O O O O O
6-4 6-4 6-3	O O O
W L PCT GB	O O O O
A top official of export development bank Bancomext said the peso 's appreciation against the dollar this year has not hurt demand for Mexican exports .	O O O O O O O S-ORG O O O O O O O O O O O O O O O S-MISC O O
C. Lewis b Wasim Akram 5	B-PER E-PER O B-PER E-PER O
Conte , an army general , survived a February army pay revolt which at the time he described as a veiled attempt to topple him .	S-PER O O O O O O O O O O O O O O O O O O O O O O O O O
TEXAS 75 56 .573 -	S-ORG O O O O
NEW YORK AT SEATTLE	B-ORG E-ORG O S-LOC
Millns , who toured Australia with England A in 1992/93 , replaces former England all-rounder Phillip DeFreitas as Boland 's overseas professional .	S-MISC O O O S-LOC O S-LOC O O O O O O S-LOC O B-PER E-PER O S-ORG O O O O
Men 's singles	O O O
AMERICAN LEAGUE	B-MISC E-MISC
Organisers had hoped to include 1984 and 1988 champion Carl Lewis in the squad but he injured himself in Brussels last Friday .	O O O O O O O O O B-PER E-PER O O O O O O O O S-LOC O O O
- 4	O O
Aug 27 Aug 26	O O O O
Asa Carlsson ( Sweden ) beat Gloria Pizzichini ( Italy ) 3-6 6-1 7-5	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O
* Boeing Co secures $ 5.5 billion in orders for new , larger 747s .	O B-ORG E-ORG O O O O O O O O O O O O
I knew I would score even if he fielded it cleanly , he could n't throw me out . "	O O O O O O O O O O O O O O O O O O O O
Portsmouth 1 Queen 's Park Rangers 2	S-ORG O B-ORG I-ORG I-ORG E-ORG O
" We discussed the decision to postpone the municipal elections and I made clear it was primarily the manipulation of voter registration by the Republika Srpska ( Bosnian Serb republic ) which led to this development , " Kornblum said after three hours of talks .	O O O O O O O O O O O O O O O O O O O O O O O O B-LOC E-LOC O B-MISC E-MISC O O O O O O O O O S-PER O O O O O O O
" They ( the insurgents ) should first give up their violent activities , " Home ( Interior ) Minister Khum Bahadur Khadga said .	O O O O O O O O O O O O O O O O O O O O B-PER I-PER E-PER O O
Millwall v Burnley , Notts County v York , Plymouth v Preston ,	S-ORG O S-ORG O B-ORG E-ORG O S-ORG O S-ORG O S-ORG O
He said the article largely reiterated information about the suits and the disease which had previously been made public via Securities and Exchange Commission filings and annual reports .	O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG E-ORG O O O O O
CLEVELAND 8 Milwaukee 5	S-ORG O S-ORG O
1-1 .	O O
Ipswich 3 1 1 1 6 4 4	S-ORG O O O O O O O
BRITAIN WELCOMES ROMANIA-HUNGARY TREATY ACCORD .	S-LOC O S-MISC O O O
Service centers continued to lower their inventories in July when total copper stocks were off two percent and alloy products down 1.9 percent .	O O O O O O O O O O O O O O O O O O O O O O O O
CRICKET - ENGLAND NAME SQUAD FOR ONE-DAY INTERNATIONALS .	O O S-LOC O O O O O O
But none named those guilty of ordering or carrying out any of the gross violations of human rights which Tutu is investigating .	O O O O O O O O O O O O O O O O O O O S-PER O O O
3. Jan Van Eiden ( Germany ) 1:04.541	O B-PER I-PER E-PER O S-LOC O O
6. Erik Breukink ( Netherlands ) Rabobank 48	O B-PER E-PER O S-LOC O S-ORG O
Microsoft executives say they are thrilled with the sales figures , and industry analysts estimate that by sometime next year , the installed base of Windows 95 will surpass that of the older version of Windows , now used on about 100 million computers worldwide .	S-ORG O O O O O O O O O O O O O O O O O O O O O O O O B-MISC E-MISC O O O O O O O O S-MISC O O O O O O O O O O
Muller McLaren F1 GTR 167	B-MISC I-MISC I-MISC E-MISC O
After being fined $ 250,000 by the sports governing body on Tuesday , the British driver rolled his Subaru 6.5 km into stage six .	O O O O O O O O O O O O O O S-MISC O O O S-ORG O O O O O O
CNIEC lent around 85,000 tonnes of copper onto the LME between April and June 1995 on behalf of the state reserve , running the state stockpile down to 115,000 tonnes from 200,000 tonnes previously .	S-ORG O O O O O O O O S-ORG O O O O O O O O O O O O O O O O O O O O O O O O O
Auckland police were seeking an escaped gunman on Tuesday after an incident in which he fired at a 16-year-old schoolgirl , Radio New Zealand said .	S-LOC O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG E-ORG O O
" Rubin has done a fine job in that position , " said Michael Faust , a portfolio manager at Bailard , Biehl and Kaiser , which manages just under $ 1 billion in global stocks and bonds .	O S-PER O O O O O O O O O O O B-PER E-PER O O O O O B-ORG I-ORG I-ORG I-ORG E-ORG O O O O O O O O O O O O O O
Brann 7 Start 1	S-ORG O S-ORG O
Information Minister Marwan Muasher says there is evidence that " some official parties in Iraq " were behind the disturbances in the south .	O O B-PER E-PER O O O O O O O O O O S-LOC O O O O O O O O O
AMERICAN LEAGUE	B-MISC E-MISC
In Kansas City , Travis Fryman doubled in the go-ahead run in the fifth and Melvin Nieves and Damion Easley belted two-run homers as the Detroit Tigers claimed a 10-3 win over the Royals , handing them their fifth straight loss .	O B-LOC E-LOC O B-PER E-PER O O O O O O O O O B-PER E-PER O B-PER E-PER O O O O O B-ORG E-ORG O O O O O O S-ORG O O O O O O O O
5. Dekker 1 minute 21 seconds	O S-PER O O O O
An Iranian embassy spokesman said in response to an inquiry that Iran had formally requested Banisadr 's extradition for hijacking the military aircraft which he commandeered to flee Iran in July 1981 .	O S-MISC O O O O O O O O O S-LOC O O O S-PER O O O O O O O O O O O O S-LOC O O O O
The daily Le Monde reported on Wednesday some separatist movements were considering taking their attacks to the French mainland on the principle that " 300 grammes of explosives on the continent have more impact than 300 kilos in Corsica " .	O O B-ORG E-ORG O O O O O O O O O O O O O S-MISC O O O O O O O O O O O O O O O O O O O O S-LOC O O
2. Damon Hill ( Britain ) Williams 1:50.980	O B-PER E-PER O S-LOC O S-ORG O
MANILA 1996-08-24	S-LOC O
A passenger train collided with a locomotive at a main railway station in Linz on Wednesday and police said around 10 people were injured .	O O O O O O O O O O O O O S-LOC O O O O O O O O O O O
Anis Ahmed	B-PER E-PER
Attendance : 5,000	O O O
-- Fatima Cristina , Sao Paulo newsroom , 55-11-2324411	O B-PER E-PER O B-LOC E-LOC O O O
2004 655M 90M 965M	O O O O
It was the fifth attack on police this month in the southern province , a hot spot of ethnic tension where the Albanian majority have boycotted Serbian institutions and set up their own , which are considered illegal by Belgrade .	O O O O O O O O O O O O O O O O O O O O O O S-MISC O O O S-MISC O O O O O O O O O O O O S-LOC O
3. Tommi Makinen ( Finland ) Mitsubishi Lancer 8 seconds	O B-PER E-PER O S-LOC O B-MISC E-MISC O O
5. Judith Arndt ( Germany ) 11	O B-PER E-PER O S-LOC O O
The man drew attention to himself in the North Island town of Tauranga while trying to reverse his car out of a pothole on Saturday night .	O O O O O O O O B-PER E-PER O O S-LOC O O O O O O O O O O O O O O
Palestinian leaders in Jerusalem called on Tuesday for a two-hour strike to protest what they called Israel 's war on Arab East Jerusalem after police demolished a building there .	S-MISC O O S-LOC O O O O O O O O O O O O S-LOC O O O B-LOC I-LOC E-LOC O O O O O O O
FLORIDA 62 70 .470 20	S-ORG O O O O
Tranmere 3 Grimsby 2	S-ORG O S-ORG O
The president 's daughter is going into her senior year of high school at Sidwell Friends School , a private school in Washington .	O O O O O O O O O O O O O O B-ORG I-ORG E-ORG O O O O O S-LOC O
Men 's singles , first round	O O O O O O
Cyprien , who won his one French cap against Italy in February 1994 , cannot play in Switzerland or elsewhere until May next year .	S-PER O O O O O S-MISC O O S-LOC O O O O O O O S-LOC O O O O O O O
1. Svetlana Samokhalova ( Russia ) 28 points ( in 32	O B-PER E-PER O S-LOC O O O O O O
Thirty-six people have died so far this year in conflicts over land in the Brazilian countryside , including 19 landless peasants massacred by police in April in the northern state of Para .	O O O O O O O O O O O O O O S-MISC O O O O O O O O O O O O O O O O S-LOC O
